id,name,popularity,followers,genres,user
6hG0VsXXlD10l60TqiIHIX,Ecco2k,61,352318,"cloud rap, hyperpop",I
6i392l38cR3uBPF0DbNs7S,Quality Control,66,1620767,"hip hop, trap",M
6icQOAFXDZKsumw3YXyusw,Lil Yachty,77,10950456,"melodic rap, rap","M, I"
6jGMq4yGs7aQzuGsMgVgZR,Lil Tjay,76,10274995,"brooklyn drill, melodic rap",M
6lcwlkAjBPSKnFBZjjZFJs,Alex G,76,3611920,indie,"I, C"
6ngR3n1aQ7GLB5w46hqSWR,David Fray,48,12461,"classical, classical piano",I
6oMuImdp5ZcFhWP0ESe6mG,Migos,75,14692907,trap,M
6olE6TJLqED3rqDCT0FyPh,Nirvana,83,23655349,"grunge, rock",I
6rUez8y21xlLrYKExcXB1X,ISO Supremacy,55,4845,dark r&b,M
6rX8AFY10dsJkJsv23Z9Um,Karnivool,49,243319,"alternative metal, djent, progressive metal, progressive rock",C
6tIWNVs4HVdJCZai0rxYr4,Miriam Keogh,47,257,indie,I
6tYmTHApvspl6KAgTfHjAY,bar italia,49,86285,lo-fi indie,C
6uCXq7IoXFqGSB3L5zX5oV,Trevor Spitta,41,23808,"hip hop, rap",M
6zvul52xwTWzilBZl6BUbT,Pixies,70,3586665,"alt, alternative rock",I
72NhFAGG5Pt91VbheJeEPG,2hollis,72,577572,"electroclash, hyperpop",I
72X6FHxaShda0XeQw3vbeF,Slowdive,66,1390553,"dream pop, shoegaze, slowcore",C
72ltK39qT3DgtiCZgOAaGs,SNUPE BANDZ,48,26926,"southern hip hop, trap",M
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino,80,14663512,"hip-hop, r&b, rap",C
75dQReiBOHN37fQgWQrIAJ,Local Natives,54,663128,indie,C
77SW9BnxLY8rJ0RciFqkHh,The Neighbourhood,86,21902102,indie,"I, C"
77mJc3M7ZT5oOVM7gNdXim,Her's,65,1212035,indie,C
78SHxLdtysAXgywQ4vE0Oa,Bush,65,2120682,"grunge, post-grunge",C
78sEozQOEJxzXegUuqRSgH,Daniel Barenboim,63,155366,"chamber music, classical, classical piano, opera",I
7CajNmpbOovFoOoasH2HaY,Calvin Harris,85,23122521,edm,M
7E74ReKi0BpodmTTNRY4nF,Vasilis Dokakis,2,453,"alternative, indie, post-rock",C
7FPO7WTShHCXnmVv7lhhZM,Nana Grizol,35,47196,"anti-folk, folk, folk punk",I
7GuUYiGZOzQwq4L6gAfy1T,SahBabii,58,759410,melodic rap,M
7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,71,3339226,"alternative dance, electroclash, new rave, witch house",C
7KJSk2ytUFik1LGqFGHOLW,Clarion,52,46111,shoegaze,C
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,86,32398889,"garage rock, indie",I
7bu3H8JO7d0UbMoVzbo70s,The Cure,77,6726472,"darkwave, gothic rock, new wave, post-punk",C
7dGJo4pcD2V6oG8kP0tJRR,Eminem,90,105324431,"hip hop, rap",M
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,72,6970203,"rap, trap",M
7j1EFfyMGmNxaLNIrVAID4,Wray,30,6737,"dream pop, shoegaze",C
7jXUQgHvIWbra34WkJcezO,None,47,389,"bhajan, vocal",I
7lRFrrINQTY35g8hq0kXY5,Johnny Hodges,45,50705,"cool jazz, jazz, swing music",I
7rkW85dBwwrJtlHRDkJDAC,NAV,71,3570375,melodic rap,M
7tTCdjIEm4DHFxgquKT18a,Markus Pawlik,34,375,classical,I
7y97mc3bZRFXzT2szRM4L4,Frédéric Chopin,75,3581865,"classical, classical piano",I
